scientific_name,group,source,conservation_status,match_level,speciesnet_detectable,geofence_status,speciesnet_common_name,speciesnet_label
Aulacorhynchus derbianus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aulacorhynchus haematopygus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aulacorhynchus prasinus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aunque contamos con,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Automolus infuscatus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Automolus melanopezus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Automolus ochrolaemus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Automolus rufipileatus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Automolus subulatus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Avocettula recurvirostris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aythya affinis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aythya collaris,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,blocked by allow-list,ring-necked duck,479e2063-c763-4f03-b2ac-367adc8fb8c6;aves;anseriformes;anatidae;aythya;collaris;ring-necked duck
Bangsia edwardsi,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Bangsia rothschildi,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Bartramia longicauda,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,upland sandpiper,9d484e50-7407-4cf0-816d-68de522d43f9;aves;charadriiformes;scolopacidae;bartramia;longicauda;upland sandpiper
Baryphthengus martii,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,rufous motmot,bbbbaa97-e40a-42ba-867a-64152c66b6d0;aves;coraciiformes;momotidae;baryphthengus;martii;rufous motmot
Basileuterus trifasciatus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Basileuterus tristriatus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Berlepschia rikeri,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Blake participaron,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Boissonneaua flavescens,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Boissonneaua jardini,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Boissonneaua matthewsii,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Bolborhynchus lineola,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Bombycilla cedrorum,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,blocked by allow-list,cedar waxwing,a23706e6-90f9-4c23-8040-7ce80d33917c;aves;passeriformes;bombycillidae;bombycilla;cedrorum;cedar waxwing
